Personagem,Fala
A-bomb-inable_Bomb_King_voice_lines," ""Bomb King."""
A-bomb-inable_Bomb_King_voice_lines," ""'Ho, Ho, Ho. Don't be afraid little one, I'm here bringing gifts."""
A-bomb-inable_Bomb_King_voice_lines," ""I see there some naughty children nearby."""
A-bomb-inable_Bomb_King_voice_lines," ""Would you guide my sleigh tonight?"""
A-bomb-inable_Bomb_King_voice_lines," ""Dash away! Dash away! Dash away all!"""
A-bomb-inable_Bomb_King_voice_lines," ""Be Merry!"""
A-bomb-inable_Bomb_King_voice_lines," ""'Tis the season!"""
A-bomb-inable_Bomb_King_voice_lines," ""Spread the joy!"""
A-bomb-inable_Bomb_King_voice_lines," ""Good things coming, big packages!"""
A-bomb-inable_Bomb_King_voice_lines," ""Away!"""
A-bomb-inable_Bomb_King_voice_lines," ""In to the night!"""
A-bomb-inable_Bomb_King_voice_lines," ""Give your king a big hug!"" (enemy/self)"
A-bomb-inable_Bomb_King_voice_lines," ""Don't deny me this embrace!"" (ally)"
A-bomb-inable_Bomb_King_voice_lines," ""Filled with joy."""
A-bomb-inable_Bomb_King_voice_lines," ""This will make a nice gift."""
A-bomb-inable_Bomb_King_voice_lines," ""What a cute toy!"""
A-bomb-inable_Bomb_King_voice_lines," ""Wait, little one."""
A-bomb-inable_Bomb_King_voice_lines," ""It's not ready."""
A-bomb-inable_Bomb_King_voice_lines," ""Oof,You just made my naughty list!"""
A-bomb-inable_Bomb_King_voice_lines," ""Oh? someone wants to play!"""
A-bomb-inable_Bomb_King_voice_lines," ""I'm melting."""
A-bomb-inable_Bomb_King_voice_lines," ""*grunts*"""
A-bomb-inable_Bomb_King_voice_lines," ""Feeling colder than usual!"""
A-bomb-inable_Bomb_King_voice_lines," ""I need some new snow."""
A-bomb-inable_Bomb_King_voice_lines," ""Starting to fall apart."""
A-bomb-inable_Bomb_King_voice_lines," ""Remind me to give you an extra present this year."""
A-bomb-inable_Bomb_King_voice_lines," ""You've been real good, kiddo."""
A-bomb-inable_Bomb_King_voice_lines," ""Ho ho... no!"""
A-bomb-inable_Bomb_King_voice_lines," ""Phooey!"""
A-bomb-inable_Bomb_King_voice_lines," ""Try to be good next year!"""
A-bomb-inable_Bomb_King_voice_lines," ""I accept milk and or cookies."""
A-bomb-inable_Bomb_King_voice_lines," ""Sharing is the greatest gift."
A-bomb-inable_Bomb_King_voice_lines," ""I feel like singing."""
A-bomb-inable_Bomb_King_voice_lines," ""Gotta love the holidays!"""
A-bomb-inable_Bomb_King_voice_lines," ""See the blazing yule before us"""
A-bomb-inable_Bomb_King_voice_lines," ""Hmm. On the naughty list again, I see?"" (Zhin)"
A-bomb-inable_Bomb_King_voice_lines," ""Do behave yourself!"" (Zhin)"
A-bomb-inable_Bomb_King_voice_lines," ""Another off my list."""
A-bomb-inable_Bomb_King_voice_lines," ""back to bed with you!"""
A-bomb-inable_Bomb_King_voice_lines," ""Pleasant dreams."""
A-bomb-inable_Bomb_King_voice_lines," ""They're bursting with joy."""
A-bomb-inable_Bomb_King_voice_lines," ""Nothing can stop the spirit of the season."""
A-bomb-inable_Bomb_King_voice_lines," ""Stay frosty!"""
A-bomb-inable_Bomb_King_voice_lines," ""Someone's capping on our point!"""
A-bomb-inable_Bomb_King_voice_lines," ""There's troublemakers on the point!"""
A-bomb-inable_Bomb_King_voice_lines," ""Explosions for all and to all and goodnight!"""
A-bomb-inable_Bomb_King_voice_lines," ""No holidays is completed without the fireworks."""
A-bomb-inable_Bomb_King_voice_lines," ""Ringin' the holiday cheer!"""
A-bomb-inable_Bomb_King_voice_lines," ""I put the ""win"" in winter."""
A-bomb-inable_Bomb_King_voice_lines," ""Hey, turn that frown upside down."""
A-bomb-inable_Bomb_King_voice_lines," ""I'll be back next year."""
A-bomb-inable_Bomb_King_voice_lines," ""I'm gonna deck your halls."""
A-bomb-inable_Bomb_King_voice_lines," ""You challenging me to a snowball fight?"""
A-bomb-inable_Bomb_King_voice_lines," ""Bad children like you get more than just coal."""
A-bomb-inable_Bomb_King_voice_lines," ""I'm adding you to my naughty list"""
A-bomb-inable_Bomb_King_voice_lines," ""Feel like I'm gonna melt away!"""
A-bomb-inable_Bomb_King_voice_lines," ""You got a generous heart"""
A-bomb-inable_Bomb_King_voice_lines," ""No need to fear when the holidays are here."""
A-bomb-inable_Bomb_King_voice_lines," ""These years gifts will really blow you away."""
A-bomb-inable_Bomb_King_voice_lines," ""No chimneys to small for me at least not till I blow them wide open."""
A-bomb-inable_Bomb_King_voice_lines," ""Ho ho ho!"""
A-bomb-inable_Bomb_King_voice_lines," ""HO HO HO!"""
A-bomb-inable_Bomb_King_voice_lines," ""Ho ho ho."""
A-bomb-inable_Bomb_King_voice_lines," ""Nothing springs holidays for like blinding gold and blinding blue snow."" (Ice)"
A-bomb-inable_Bomb_King_voice_lines," ""I should visit the workshop while I am here""(Ice)"
A-bomb-inable_Bomb_King_voice_lines," ""Time for some winter cheer!"""
A-bomb-inable_Bomb_King_voice_lines," ""You should better take care for your toys."""
A-bomb-inable_Bomb_King_voice_lines," ""That was a tough cookie!"""
A-bomb-inable_Bomb_King_voice_lines," ""I prefer a chimney entrance."""
A-bomb-inable_Bomb_King_voice_lines," ""Your presents have arrived."""
A-bomb-inable_Bomb_King_voice_lines," ""I'll give you a real snowball fight."""
A-bomb-inable_Bomb_King_voice_lines," ""Don't buzz. I've got gifts for you all."""
A-bomb-inable_Bomb_King_voice_lines," ""Oh! what fun!"""
A-bomb-inable_Bomb_King_voice_lines," ""Did my cheeks get rosier?"""
A-bomb-inable_Bomb_King_voice_lines," ""Have you been naughty?"""
A-bomb-inable_Bomb_King_voice_lines," ""Here's the present."""
A-bomb-inable_Bomb_King_voice_lines," ""I've been extra good this year"""
A-bomb-inable_Bomb_King_voice_lines," ""The job is the real reward!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""I'm so full of joy i can just blow up."""
A-bomb-inable_Bomb_King_voice_lines,"  ""This presents wont deliver themselves."""
A-bomb-inable_Bomb_King_voice_lines," ""Let's toll up some joy with a few extra fireworks. Haha."""
A-bomb-inable_Bomb_King_voice_lines," ""It's been too long since i got a present."""
A-bomb-inable_Bomb_King_voice_lines," ""Oh, the children will enjoy this."""
A-bomb-inable_Bomb_King_voice_lines,"  ""Someone behind us!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Watch yer back!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""gave them back!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Don't let them rule the holidays!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""They're in the air!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Above us!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Sniper!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""They're pumping us from afar!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""They've got an ult coming!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Look out for that ultimate!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Group up, kiddos!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""You wanna stick together!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""The heal would be a wonderful present,"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Could you work a miracle on me?"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Save the tank!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Somebody give a hand to the frontline!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Overtime!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Time for a holiday miracle!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""We got to deliver these gifts quickly!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Good job everyone just a bit more!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Back to our slay!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""The payload's stuck in the rust!"""
A-bomb-inable_Bomb_King_voice_lines,"  ""better wait for little helpers"""
A-bomb-inable_Bomb_King_voice_lines,"  ""Don't be a scrouge, spend your credits, little one."""
A-bomb-inable_Bomb_King_voice_lines," ""Attack the Siege Engine!"""
A-bomb-inable_Bomb_King_voice_lines," ""Defend the Siege Engine!"""
A-bomb-inable_Bomb_King_voice_lines," ""Out of Mana!"""
Abominable_Terminus_voice_lines," ""Terminus."""
Abominable_Terminus_voice_lines," ""They scream when they see me, ey, don't you think that's just a little mean? I mean yetis have feelings too! We're not just about eating people?"""
Abominable_Terminus_voice_lines," ""Aww, do we have to fight? I know a great little place where we could sit down and get to know each other, who knows? Maybe we can become friends, eh? Anyone?"""
Abominable_Terminus_voice_lines," ""Eh... nice horsie?"""
Abominable_Terminus_voice_lines," ""Eh... giddy up?"""
Abominable_Terminus_voice_lines," ""Oh! you did this"""
Abominable_Terminus_voice_lines," ""Stop shooting."""
Abominable_Terminus_voice_lines," ""Ugh! Let me down!"""
Abominable_Terminus_voice_lines," ""Once more I rise."" (enemy/self)"
Abominable_Terminus_voice_lines," ""Eh? SHINY! """
Abominable_Terminus_voice_lines," ""Ugh. It's for the best.."""
Abominable_Terminus_voice_lines," ""Ehe-he-he. Not yet."""
Abominable_Terminus_voice_lines," ""Tch! Too close! Too close!"""
Abominable_Terminus_voice_lines," ""HELP!"""
Abominable_Terminus_voice_lines," ""*SOBS*."""
Abominable_Terminus_voice_lines," ""Not again."""
Abominable_Terminus_voice_lines," ""That... was an accident."""
Abominable_Terminus_voice_lines," ""Er... I'll call the doctor. Stay. Right. there."""
Abominable_Terminus_voice_lines," ""Ooh. Please-please-please. Don't tell anyone about this."""
Abominable_Terminus_voice_lines," ""Oh, trust me. We can fix this. I reanimate all the time."""
Abominable_Terminus_voice_lines," ""Oh! We did it! So... time to stop... right?"""
Abominable_Terminus_voice_lines," ""WOO all right. Time to go home."""
Abominable_Terminus_voice_lines," ""AHH. They're capturing the point."""
Abominable_Terminus_voice_lines," ""Hey uh... everyone? They're on the point."""
Abominable_Terminus_voice_lines," ""Oh, great, here we go again. ""Ah! the big bad monster, ended up killing everyone"". Ugh. This happens every time. Every. Single. Time."""
Abominable_Terminus_voice_lines," ""We won! Oh, but everyone's scared of me. *Sob* What's new?"""
Abominable_Terminus_voice_lines," ""*sobs* I just *sob* wanted people to like me *Sob*"""
Abominable_Terminus_voice_lines," ""Happy now, hm? Last time I go outside...Ever *grumble* (?)"""
Abominable_Terminus_voice_lines," ""*ROAR* Oh! Oh Geez oh I'm so sorry. Please don't cry! I-I I didn't mean to. Oh... This just always happens."""
Abominable_Terminus_voice_lines," ""E-de-de-de-de. Hold on, (I don't pass this so much. Let me see... human interactions... human interactions...taunts.) Aha yes aha. Human, you are weak. Ha. Regards. ~T."""
Abominable_Terminus_voice_lines," You don't look that great! Ugh... I'm just no good with this taunting thing."""
Abominable_Terminus_voice_lines," ""So... How's your sister?"" (Furia)"
Abominable_Terminus_voice_lines," ""Are you uh... Agh! Are you a man who became a bomb or a bomb who became a man? Hm?"" (Bomb King)"
Abominable_Terminus_voice_lines," ""Oh, you'll be right back at it, buddy."" (Dredge)"
Abominable_Terminus_voice_lines," ""Um, put in good work for me up there?"" (Furia)"
Abominable_Terminus_voice_lines," ""Oh. Boulders."" (Inara)"
Abominable_Terminus_voice_lines," ""REALLY... TO A TREE???"" (Grover)"
Abominable_Terminus_voice_lines," ""Big foot, Neh. Nice guy. Ooh small feet though.."""
Abominable_Terminus_voice_lines," ""Oh, I am just gonna retire to Florida. No one will know the difference."""
Abominable_Terminus_voice_lines," ""And I told him...Yeti you beti. Ahaha."""
Abominable_Terminus_voice_lines," ""Ahahahaha."""
Abominable_Terminus_voice_lines," ""*Sobs*."""
Abominable_Terminus_voice_lines," ""Hahahaha."""
Abominable_Terminus_voice_lines," ""Remember, no bloodshed."""
Abominable_Terminus_voice_lines,"  ""Oh. This is nice."""
Abominable_Terminus_voice_lines,"  ""Oh. Take your time in there. This is great."""
Abominable_Terminus_voice_lines,"  ""Ugh. Here we go again."""
Abominable_Terminus_voice_lines,"  ""Not killing anyone this time. Nope. Not again. Mm-mm-mm."""
Abominable_Terminus_voice_lines," ""Listen, none of these was my fault. Okay?"""
Abominable_Terminus_voice_lines," ""I killed someone again...oh. Again. Keep it in control, T. you're better than this."""
Abominable_Terminus_voice_lines," ""Here's the plan eh: DON'T. HURT. ANYONE."""
Abominable_Terminus_voice_lines," ""This to eh, help people"""
Abominable_Terminus_voice_lines," ""Signs of understanding eh."""
Abominable_Terminus_voice_lines,"  ""AAHHH! Enemies behind!"""
Abominable_Terminus_voice_lines,"  ""Behind us."""
Abominable_Terminus_voice_lines,"  ""In the air."""
Abominable_Terminus_voice_lines,"  ""Enemies are flyin'!"""
Abominable_Terminus_voice_lines,"  ""Eh, sniper!"""
Abominable_Terminus_voice_lines,"  ""There's a sniper!"""
Abominable_Terminus_voice_lines,"  ""HELP. Anyone?"""
Abominable_Terminus_voice_lines,"  ""I need healing."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Abyssal Lord Drogoz."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Death comes for this world."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Look upon me and despair For I am the Abyss."""
Abyssal_Lord_Drogoz_voice_lines,"  ""The slaughter calls to me."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Kill Kill!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""*Spits*"""
Abyssal_Lord_Drogoz_voice_lines,"  ""The end is nigh."""
Abyssal_Lord_Drogoz_voice_lines,"  ""These souls serve me."""
Abyssal_Lord_Drogoz_voice_lines," ""Death from above."""
Abyssal_Lord_Drogoz_voice_lines," ""The skies are mine."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Behold the dragon's fury!"" (enemy/self)"
Abyssal_Lord_Drogoz_voice_lines,"  ""Not yet."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Wait."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Ah. You wish for death."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Enough."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Impossible."""
Abyssal_Lord_Drogoz_voice_lines,"  ""You fool."""
Abyssal_Lord_Drogoz_voice_lines,"  ""No. Not again"" (Furia)"
Abyssal_Lord_Drogoz_voice_lines,"  ""Mercy."" (Furia)"
Abyssal_Lord_Drogoz_voice_lines,"  ""Your soul is weak."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Pure souls are mine."""
Abyssal_Lord_Drogoz_voice_lines,"  ""You fail for the last time."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Crawl back to your hole, cowards!"""
Abyssal_Lord_Drogoz_voice_lines,"  ""Now, you die, angel."" (Furia)"
Abyssal_Lord_Drogoz_voice_lines,"  ""Extinguished."" (Furia)"
Abyssal_Lord_Drogoz_voice_lines,"  ""Our dominion reigns."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Conquest."""
Abyssal_Lord_Drogoz_voice_lines,"  ""The enemy assaults the point."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Fools disgrace the point."""
Abyssal_Lord_Drogoz_voice_lines,"  ""The Abyss welcomes its new world."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Pure domination."""
Abyssal_Lord_Drogoz_voice_lines,"  ""I can't lose, I am the Abyss"""
Abyssal_Lord_Drogoz_voice_lines,"  ""This won't be the last you'll see of me."""
Abyssal_Lord_Drogoz_voice_lines,"  ""It is pointless to resist."""
Abyssal_Lord_Drogoz_voice_lines,"  ""You will suffer."""
Abyssal_Lord_Drogoz_voice_lines,"  ""I will enjoy your soul for eternity."""
Abyssal_Lord_Drogoz_voice_lines,"  ""What is my favorite music? Soul music. Ehehehe."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Welcome to the Abyss, enjoy your stay."""
Abyssal_Lord_Drogoz_voice_lines,"  ""Everyone is making apocalypse jokes like there's ... no tomorrow."""
Abyssal_Lord_Drogoz_voice_lines,  *muffled laughter*
Abyssal_Lord_Drogoz_voice_lines,"  ""Hahaahaahhaha"""
Abyssal_Lord_Drogoz_voice_lines,"  ""You are all doomed, Hahaha ha ha ha"""
Abyssal_Lord_Drogoz_voice_lines,"  ""Commence the suffering."""
Abyssal_Lord_Drogoz_voice_lines,"  ""I cannot be killed."""
